Date,High,Low,Open,Close,Volume,Adj Close
2022-03-04,2709.0,2636.0,2669.0,2649.0,8633,2649.0
2022-03-03,2771.5,2699.5,2732.0,2709.5,5808,2709.5
2022-03-02,2745.0,2688.0,2708.5,2732.5,4669,2732.5
2022-03-01,2762.0,2711.0,2753.0,2739.0,5246,2739.0
2022-02-28,2747.0,2692.0,2701.0,2743.5,6453,2743.5
2022-02-25,2725.0,2653.5,2675.0,2725.0,7144,2725.0
2022-02-24,2638.5,2471.0,2480.5,2615.0,20510,2615.0
2022-02-23,2698.0,2607.0,2680.0,2617.0,5329,2617.0
2022-02-22,2695.0,2601.0,2608.5,2645.0,11528,2645.0
2022-02-21,2701.0,2620.5,2692.5,2628.0,8374,2628.0
2022-02-18,2751.0,2682.5,2736.5,2682.5,5138,2682.5
2022-02-17,2819.0,2763.5,2781.0,2779.0,4460,2779.0
2022-02-16,2774.0,2725.0,2751.5,2768.0,3214,2768.0
2022-02-15,2801.0,2743.0,2758.5,2746.5,6633,2746.5
2022-02-14,2795.5,2661.5,2689.0,2784.5,16624,2784.5
2022-02-11,2792.5,2743.0,2770.0,2748.0,5055,2748.0
2022-02-10,2828.5,2774.0,2828.5,2779.0,4507,2779.0
2022-02-09,2866.0,2816.0,2835.0,2829.0,5397,2829.0
2022-02-08,2788.0,2728.5,2778.0,2786.5,4435,2786.5
2022-02-07,2843.0,2739.5,2769.0,2786.5,8184,2786.5
2022-02-04,2750.0,2635.0,2733.0,2721.5,37275,2721.5
2022-02-03,2605.0,2455.0,2598.5,2464.0,16468,2464.0
2022-02-02,2760.0,2650.5,2750.0,2654.5,13754,2654.5
2022-02-01,2678.0,2627.5,2670.0,2662.5,9157,2662.5
2022-01-31,2637.5,2579.0,2596.0,2635.5,11440,2635.5
2022-01-28,2539.5,2477.5,2539.5,2524.5,8327,2524.5
2022-01-27,2584.0,2451.0,2473.5,2571.0,10602,2571.0
2022-01-26,2570.0,2482.5,2501.0,2513.5,14538,2513.5
2022-01-25,2546.5,2474.0,2523.5,2474.5,12400,2474.5
2022-01-24,2559.5,2443.5,2530.0,2461.5,23396,2461.5
2022-01-21,2680.0,2556.5,2672.0,2618.5,11363,2618.5
2022-01-20,2786.5,2750.5,2761.5,2768.5,3535,2768.5
2022-01-19,2815.0,2764.0,2765.0,2773.5,4140,2773.5
2022-01-18,2824.0,2780.0,2824.0,2789.0,4077,2789.0
2022-01-17,2859.0,2821.0,2836.0,2833.5,2868,2833.5
2022-01-14,2835.0,2792.0,2810.0,2815.0,3722,2815.0
2022-01-13,2895.0,2854.5,2878.5,2866.0,1901,2866.0
2022-01-12,2928.0,2881.5,2928.0,2897.0,2364,2897.0
2022-01-11,2907.0,2840.0,2855.0,2903.5,5659,2903.5
2022-01-10,2889.0,2763.0,2885.0,2797.0,7739,2797.0
