,Marke,Titel,Price,Verfügbarkeit
0,ESP,LTD H-1001 QM See Thru B-Stock,999,Sofort lieferbar
1,Ibanez,RG5120M-FCN B-Stock,1.659,Sofort lieferbar
2,Schecter,Hellraiser C-7 FR S BL B-Stock,1.199,Sofort lieferbar
3,Jackson,DK Mod Pro Dinky EverT B-Stock,1.365,Sofort lieferbar
4,Schecter,Hellraiser C-7 FR S BC B-Stock,1.299,Sofort lieferbar
5,Schecter,Demon-6 Satin Black Bundle,666,In 6–8 Wochen lieferbar
6,Music Man,Petrucci JP15 Quilt CP,4.798,Lieferbar in mehreren Monaten
7,BC Rich,Shredzilla Extreme Exotic PH,1.498,Sofort lieferbar
8,BC Rich,Shredzilla Extreme Exo B-Stock,1.339,Sofort lieferbar
9,Schecter,Reaper-6 FR Satin Sky  B-Stock,879,Sofort lieferbar
10,Ibanez,JCRG2002-SLH J. Custom,6.999,Sofort lieferbar
11,Schecter,SLS Elite C-1 FR S BFB B-Stock,1.389,Sofort lieferbar
12,Schecter,Demon-6 Satin Black Bundle,666,In 6–8 Wochen lieferbar
13,Squier,CV 70s Strat LRL OW B-Stock,349,Sofort lieferbar
14,BC Rich,Shredzilla Extreme Exotic SM,1.649,Sofort lieferbar
15,Charvel,Pro-Mod DK24 HH 2PT CM B-Stock,789,Sofort lieferbar
16,Fender,LTD Player Strat HSS M B-Stock,685,Sofort lieferbar
17,Squier,Bullet Strat HSS Bundle,290,Sofort lieferbar
18,Harley Benton,CST-24 BK Bundle,367,In 5–7 Wochen lieferbar
19,Harley Benton,CST-24T Paradise Flame Bundle,446,In 5–7 Wochen lieferbar
20,Harley Benton,ST-20 BK Standard Serie Bundle,169,In 1–2 Wochen lieferbar
21,ESP,LTD H-1001 QM See Thru B-Stock,999,Sofort lieferbar
22,Ibanez,RG5120M-FCN B-Stock,1.659,Sofort lieferbar
23,Schecter,Hellraiser C-7 FR S BL B-Stock,1.199,Sofort lieferbar
24,Jackson,DK Mod Pro Dinky EverT B-Stock,1.365,Sofort lieferbar
25,Schecter,Hellraiser C-7 FR S BC B-Stock,1.299,Sofort lieferbar
26,Schecter,Demon-6 Satin Black Bundle,666,In 6–8 Wochen lieferbar
